Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_347:0000107,CSpine_E_1to9,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000104,Capsule spineness,Morphological,Presence of spines on capsules.,,CSpine,,Capsule spine,spineness,,,CO_347:0000105,Capsule spineness - Estimation,Estimation,Observe capsules spineness and rate it.,,,CO_347:0000106,1-9 Capsule spineness scale,Ordinal,,,,,1= Non-spiny,2= slightly spiny,3= fairly spiny,3= fairly to moderately spiny,5= moderately spiny,6= moderately to very spiny,7= very spiny,8= highly spiny,9= extremly spiny,
,CO_347:0000111,CWallHrd_E_1to9,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000108,Capsule wall hardness,Morphological,The degree of hardness of capsule wall.,,CWallHrd,,Capsule wall,hardness,,,CO_347:0000109,Capsule wall hardness - Estimation,Estimation,Observe capsule wall hardness and rate it.,,,CO_347:0000110,1-9 Hardness scale,Ordinal,,,,,1= extremely soft,2= very soft,3= soft,4= soft to semi-hard,5= semi-hard,6= semi-hard to hard,7= hard,8= very hard,9= extremely hard,
,CO_347:0000114,RLngFFlw_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000112,Raceme length covered by female flowers,Morphological,The length of the raceme covered by female flowers.,,RLngFFlw,,Female flower,length,,,CO_347:0000113,Female flower length - Measurement,Measurement,Measure female flower length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000118,LA_M_cm2plnt,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000115,Leaf area,Morphological,The leaf area.,,LA,,Leaf,area,,,CO_347:0000116,Leaf area - Measurement,Measurement,Measure leaf area using a leaf area meter and record it.,,,CO_347:0000117,cm2/plant,Numerical,,,,,,,,,,,,,,
,CO_347:0000121,LLWid_M_cm,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000119,Leaf lamina leaf width,Morphological,The leaf lamina width.,,LLWid,,Leaf lamina,width,,,CO_347:0000120,Leaf lamina width - Measurement,Measurement,Measure leaf lamina width and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000124,LLLng_M_cm,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000122,Leaf lamina length,Morphological,The leaf lamina length.,,LLLng,,Leaf lamina,length,,,CO_347:0000123,Leaf lamina length - Measurement,Measurement,Measure leaf lamina length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000127,LLDW_M_g,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000125,Leaf lamina dry weight,Morphological,The leaf lamina dry weight.,,LLDW,,Leaf lamina,dry weight,,,CO_347:0000126,Leaf lamina DW - Measurement,Measurement,Measure leaf lamina dry weight and record it.,,,CO_347:0000009,g,Numerical,,5,150,,,,,,,,,,,
,CO_347:0000130,LLng_M_cm,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000128,Leaf length,Morphological,The length of leaf.,,LLng,,Leaf,length,,,CO_347:0000129,Leaf length - Measurement,Measurement,Measure leaf length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000134,LLobeN_Ct_lobe,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000131,Leaf lobe number,Morphological,The number of leaf lobes.,,LLobeN,,Leaf,lobe number,,,CO_347:0000132,Leaf lobe number - Counting,Counting,Count leaf lobes.,,,CO_347:0000133,lobe,Numerical,,,,,,,,,,,,,,
,CO_347:0000138,LN_Ct_leaf,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000135,Leaf number,Morphological,The number of leaves.,,LN,,Leaf,number,,,CO_347:0000136,Leaf number - Counting,Counting,"Count leaves in a sampling unit (plot, plant, branch, etc).",,,CO_347:0000137,leaf,Numerical,,,,,,,,,,,,,,
